Location,Order #,Order Date,Status,Order Type,Source,Net Sales,Tax (State),Tax (Local),Tax (Other),Delivery Fee,Tips,Service Charge,Discount,Lead Gen 1,Lead Gen 2,Gross (ex FM fee),FM 3% Fee (not yours),Stripe Fee,Refund Amount,Total Distributed,Stripe Transfer ID,Transfer Amount,Transfer Reversed,Payment Status,Record Source,In Disco Cater,In FamilyMeal,Discrepancy
Uptown,20667593,2026-08-11,DUE,DELIVERY,FAMILYMEAL,430,46.23,0,0,64.5,64.5,0,0,0,0,605.23,12.9,18.23,0,458,tr_3U1CLyKp5OWEZLTA1mehr1yN,458,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,26422896,2026-08-11,DUE,DELIVERY,FAMILYMEAL,110,11.83,0,0,16.5,11,0,0,0,0,149.33,3.3,4.73,0,117.1,tr_3U1RzEKp5OWEZLTA0XZN7M63,117.1,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,92720885,2026-08-17,DUE,PICKUP,FAMILYMEAL,60,6.45,0,0,0,6,0,0,0,0,72.45,1.8,2.45,0,70,tr_3U3gcGKp5OWEZLTA1KjNQYhR,70,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,19622966,2026-08-21,DUE,PICKUP,FAMILYMEAL,56,6.02,0,0,0,5.6,0,0,0,0,67.62,1.68,2.31,0,65.31,tr_3U6IOdKp5OWEZLTA0bBsCrP2,65.31,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,39798952,2026-08-21,DUE,PICKUP,FAMILYMEAL,100,10.75,0,0,0,15,0,0,0,0,125.75,3,4.03,0,121.72,tr_3U6GUwKp5OWEZLTA0TUQyHqD,121.72,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,92785303,2026-08-23,DUE,DELIVERY,FAMILYMEAL,469,50.42,0,0,70.35,46.9,0,0,0,0,636.67,14.07,19.17,0,500.25,tr_3U6bloKp5OWEZLTA1Khip0rX,500.25,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,14072877,2026-08-27,DUE,PICKUP,FAMILYMEAL,60,6.45,0,0,0,6,0,0,0,0,72.45,1.8,2.45,0,70,tr_3U8XBCKp5OWEZLTA06D8e0vg,70,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,98978663,2026-08-29,DUE,PICKUP,FAMILYMEAL,200,21.5,0,0,0,30,0,0,0,0,251.5,6,7.77,0,243.73,tr_3U6GzmKp5OWEZLTA0B1XU2M2,243.73,no,succeeded,FamilyMeal (authoritative),YES,YES,
Uptown,900000131,2026-09-14,DUE,DELIVERY,FAMILYMEAL,180,19.35,0,0,27,27,0,0,0,0,253.35,5.4,7.8,0,191.55,tr_3UDsiIKp5OWEZLTA1hc6HyVa,191.55,no,succeeded,Disco Cater (native),YES (native only),NO,"Disco-native order — never sent to FamilyMeal, absent from FM by design"
TOTAL — Uptown,16 orders,,,,,2354.5,253.13,0,0,245.18,313.85,0,0,0,0,3166.66,70.64,98.68,0,2605.6,,2605.6,,,,,,
TOTAL — ALL LOCATIONS,33 orders,,,,,6166,662.89,0,0,622.76,922.05,0,0,0,0,8373.7,184.99,258.1,0,6825.69,,6825.7,,,,,,
