name,fm_reference,reason
"Savvy Sliders - Fraser",adf5d7c2-cb9d-4c15-9b99-a3fded7d3efc,"could not fix - FM 500 server error"
"Savvy Sliders - Harvey",a9c6d8e2-301f-4341-8aa0-40c3518a3c97,"could not fix - FM 500 server error"
"Savvy Sliders - Port Huron",fb115bce-a4af-4fa8-a6d6-27f85a72f3b1,"could not fix - FM 500 server error"
"Savvy Sliders - San Antonio",c634b37e-d2ff-4a8f-94ed-6f34bc51b783,"could not fix - FM 500 server error"
"Seymour's",223c0ab5-c34a-4abc-aaae-087ce035c58a,"could not fix - FM 500 server error"
"SmackBird Chicken - Overton",d0d4dca4-b58a-494a-a37a-e759d7023772,"could not fix - FM 500 server error"
"SmackBird Chicken - Wylie",cb87b777-d972-473c-91d2-582a4b0bffc3,"could not fix - FM 500 server error"
"Son del North - West Village",2c39c942-d21b-43ec-b086-691760cb290d,"could not fix - FM 500 server error"
"Stacks & Cordials - Royal Oak",26ef6512-0581-4b45-8c54-810103284a88,"could not fix - FM 500 server error"
"Starvin' Arvin's Catering",7159e4b8-0b6c-45f6-8425-27eb5c744502,"could not fix - FM 500 server error"
"Sunset Squares Pizza - Divisadero",016b97ee-3ecc-4b51-b560-4be6c9ee3145,"could not fix - FM 500 server error"
"Sunset Squares Pizza - Mid Market",b0ad9693-a97b-450c-a8b5-3ab1306de028,"could not fix - FM 500 server error"
"Sunset Squares Pizza - San Jose",7d0e3526-eb09-4abe-84a3-06f72b0afde3,"could not fix - FM 500 server error"
"Surf Taco - Lacey",d150a80d-e88f-4936-8259-cf5bef0785ae,"could not fix - FM 500 server error"
"Surf Taco - Manasquan",90104ec3-9713-4a1d-bb90-25362266842f,"could not fix - FM 500 server error"
"Surf Taco - Point Pleasant",140bbdbb-fd95-4bff-9379-b6926ccb8f50,"could not fix - FM 500 server error"
"Surf Taco - Red Bank",5883ed95-d7c6-4c5a-b0da-a9ab02b6addf,"could not fix - FM 500 server error"
"Tap 42 - Boca Raton",c773ab12-2bbc-4678-853b-fa1487aa03d0,"could not fix - FM 500 server error"
"Tap 42 - Coral Gables",a815323a-48b3-4778-963a-9ec351d0608e,"could not fix - FM 500 server error"
"Tap 42 - Coral Springs",29a1d258-5273-4746-b55d-3955758a9734,"could not fix - FM 500 server error"
"Tap 42 - Davie",4fdcd7ef-f214-48b5-9cdc-0e3d24ac19ec,"could not fix - FM 500 server error"
"Tap 42 - Doral",8b68cae4-55a5-4f05-9c6f-5383f11d77fc,"could not fix - FM 500 server error"
"Tap 42 - Fort Myers",61a6091b-caf7-42d7-ac32-f176dc7c27c5,"could not fix - FM 500 server error"
"Tap 42 - Ft Lauderdale",57a9e421-686e-4159-ac78-31085420fa21,"could not fix - FM 500 server error"
"Tap 42 - Kendall",0568c9cf-2074-4455-8dea-cc16e7858245,"could not fix - FM 500 server error"
"Tap 42 - Miami",66eb3936-b529-47c7-8b5e-3195a7791d17,"could not fix - FM 500 server error"
"Tap 42 - Naples",7bb4735b-119f-477e-9de6-dbbc79f58d07,"could not fix - FM 500 server error"
"Tap 42 - Palm Beach Gardens",1a22dd6a-4fb3-4803-955e-9efeba2e2251,"could not fix - FM 500 server error"
"Tasty Dawg",17a4f456-b802-473c-a04a-04dcac866286,"could not fix - FM 500 server error"
"The Biz Catering",73a401e6-2733-4715-9ca9-b2edcb44836f,"could not fix - FM 500 server error"
"The Budlong Southern Chicken - Hayden Hall",688c0c44-3d6e-46bd-9ee4-d3ef2129230c,"could not fix - FM 500 server error"
"The Tattooed Pig - Aston",c15614db-ceb0-4d1f-9fad-47ac8f73651e,"could not fix - FM 500 server error"
"The Tattooed Pig - Media",91067a15-0173-4541-95dd-deca007b111d,"could not fix - FM 500 server error"
"Three Dollar Cafe - McDonough",63d96c4d-761a-439f-bf95-9b6043986b6b,"could not fix - FM 500 server error"
"Trattoria Moderna Italian Catering",d265cc7c-a251-4015-88ef-d09bf84a9a88,"could not fix - FM 500 server error"
"Two Hands - Austin",373d6f1f-6fa5-49fd-9986-cd8b256a983e,"could not fix - FM 500 server error"
"Two Hands - Dallas",5c27ef9c-9402-49e6-9623-015f2022781c,"could not fix - FM 500 server error"
"Two Hands - Denver",020beef7-57cf-4d45-82ee-cbb579aabb4c,"could not fix - FM 500 server error"
"Winfield Street Coffee - Naples South",18d74768-f6fd-4e70-a5f5-f2ff8a47fa01,"could not fix - FM 500 server error"
"Winfield Street Coffee - Stamford",dc5d3f5f-5613-46c3-a110-e909b3c70168,"could not fix - FM 500 server error"
"Winfield Street Coffee - Westport",35781c2a-ce41-47a2-abf3-01661022cde9,"could not fix - FM 500 server error"
"Wing Dome - Kirkland",4ee31a2c-7eef-4597-9b8c-851021dbb76c,"could not fix - FM 500 server error"
"Woo Woo Burgers - Avery Ranch",e6457d87-5cca-4b17-bb20-6594f1b96c16,"could not fix - FM 500 server error"
"Woo Woo Burgers - Chandler",5f8083e5-c43e-41ea-a037-43204a4a4d69,"could not fix - FM 500 server error"
"Woo Woo Burgers - Kyle",0f1cec77-8975-456e-aea8-0d65304fd3b0,"could not fix - FM 500 server error"
"Woo Woo Burgers - Scottsdale",ee05785a-fa0a-4f4d-a256-c4d36ee0e4db,"could not fix - FM 500 server error"
"xx",2bf0b2c6-5e82-4790-b8a3-7aa03c30fb97,"could not fix - FM 500 server error"
"Z'Tejas - Avery Ranch",5534ff4e-055c-495d-b9e5-a3594018dd1e,"could not fix - FM 500 server error"
"Z'Tejas - Kyle",f52ea650-f2ee-4438-95ad-bd05e9932098,"could not fix - FM 500 server error"
"Z'Tejas - Scottsdale",f150d615-c80d-4a4c-a264-ea1147cb16cb,"could not fix - FM 500 server error"
"Zutto - Nolita",780e32c9-33dd-4ee0-829b-ea72a0b8907d,"could not fix - FM 500 server error"
